"gene"	"kmeans"	"coxreg"	"qcut50"	"qcut2575"	"kmScanP"	"kmScanQ"
"ALDH3B2.222"	"ALDH3B2|222"	"0.00279493992068055"	"0.0160711310755143"	"0.00196752915214297"	"0.014652970675719"	"0.00178442910282949"	"0.322981667612138"
"ALDH7A1.501"	"ALDH7A1|501"	"1.19151185380238e-22"	"2.22044604925031e-16"	"2.1527383367543e-26"	"3.20683188743227e-18"	"4.47581007331824e-32"	"8.10121623270601e-30"
"ALDOB.229"	"ALDOB|229"	"1"	"1"	"0.00299301087608121"	"0.0211785275586681"	"8.58866596834242e-07"	"0.000155454854026998"
"ALG12.79087"	"ALG12|79087"	"0.826474542222969"	"0.578378043333305"	"0.794952539096999"	"0.447447653881187"	"0.168050428937369"	"1"
"ALG1.56052"	"ALG1|56052"	"0.572845309454265"	"0.864650060525046"	"0.792576075288566"	"0.630246991929789"	"0.227465808824123"	"1"
"ALG3.10195"	"ALG3|10195"	"0.789406402778443"	"0.933284787654883"	"0.600549836784581"	"0.937025185894907"	"0.138311509595928"	"1"
"ALG5.29880"	"ALG5|29880"	"0.230823686778015"	"0.28353968726069"	"0.791450473459598"	"0.235997133092597"	"0.0251962540522591"	"1"
"ALKBH1.8846"	"ALKBH1|8846"	"0.731930913511718"	"0.646880848411163"	"0.991888864219149"	"0.409767048750131"	"0.0503337993005881"	"1"
"ALKBH8.91801"	"ALKBH8|91801"	"0.798906416253418"	"0.346599011802182"	"0.838937626943432"	"0.599345082777086"	"0.0559175184750802"	"1"
"ALK.238"	"ALK|238"	"1"	"1"	"0.753022097345675"	"0.839344529665125"	"8.58866596834242e-07"	"0.000155454854026998"
"ALMS1P.200420"	"ALMS1P|200420"	"0.462323160958687"	"0.166379383975411"	"0.462323160958687"	"0.0870337539112376"	"4.45576078661961e-06"	"0.000806492702378149"
"ALOX12P2.245"	"ALOX12P2|245"	"0.714421393418495"	"0.870340615298966"	"0.794167393262788"	"0.938538598275248"	"0.250299076299085"	"1"
"ALOX12.239"	"ALOX12|239"	"0.51582167548806"	"0.165129394715089"	"0.668911498949521"	"0.0815032529842195"	"0.013464542308882"	"1"
"ALPK1.80216"	"ALPK1|80216"	"0.377473930025741"	"0.616490403230333"	"0.856119945195688"	"0.159702954217063"	"0.0739854075560228"	"1"
"ALPL.249"	"ALPL|249"	"0.316185976870639"	"0.980523448296263"	"0.468768470219991"	"0.568875958325204"	"0.120769833537615"	"1"
"ALPPL2.251"	"ALPPL2|251"	"1"	"1"	"0.636023431013822"	"0.872857375399054"	"3.63466985359582e-14"	"6.57875243500844e-12"
"ALS2CL.259173"	"ALS2CL|259173"	"0.0605427412875497"	"0.00184512840483053"	"0.00462637467680884"	"0.00641860426816743"	"0.000606682420843791"	"0.109809518172726"
"AMAC1L2.83650"	"AMAC1L2|83650"	"1"	"1"	"0.0530570191107723"	"0.10306642536965"	"1.14159877805708e-10"	"2.06629378828331e-08"
